"Account_Number","Batch_Number","Lab_Number","PosNo","Assoc_Number","Line_Number","Date_Sampled","Date_Received","Date_Reported","Grower","Field_ID","Sample_ID","Submitted_by","Company","Address_1","Address_2","City_State_Zip","Depth_1","Depth_2","Depth_3","Soil_pH","Buffer_pH","Lime_Legume_T_A","Lime_Non_T_A","Excess_Lime","Soluble_Salts","OM_pct","NO3_D1_ppm","NO3_D1_lbs_A","NO3_D2_ppm","NO3_D2_lbs_A","NO3_D3_ppm","NO3_D3_lbs_A","NO3_Total_lbs_A","NO3_Total_Depth","Bray_P1_ppm","Bicarb_P_ppm","Bray_P2_ppm","Mehlich2_P_ppm","Mehlich3_P_ppm","SO4_ppm","ExchK_ppm","ExchCa_ppm","ExchMg_ppm","ExchNa_ppm","Zn_ppm","Fe_ppm","Mn_ppm","Cu_ppm","Boron_ppm","CEC_me_100g","Base_Sat_pct","H_Sat_pct","Ca_Sat_pct","Mg_Sat_pct","K_Sat_pct","Na_Sat_pct","SOL_Ca_me_L","SOL_Mg_me_L","SOL_Na_me_L","SAR","ESP","Gypsum_T_A","Sand_pct","Silt_pct","Clay_pct","Soil_Texture","Cl_D1_ppm","Cl_D1_lbs_A","Cl_D2_ppm","Cl_D2_lbs_A","Cl_Total_lbs_A","NH4_D1_ppm","NH4_D1_lbs_A","Al_ppm","Total_Nitrogen_pct","xCrop_Name","xCrop_Yield_Unit","xRec_N_lbs_A","xRec_P2O5_lbs_A","xRec_K2O_lbs_A","xRec_S_lbs_A","xRec_Zn_lbs_A","xRec_MgO_lbs_A","xRec_Fe_lbs_A","xRec_Mn_lbs_A","xRec_Cu_lbs_A","xRec_B_lbs_A","xRec_Cl_lbs_A","xRec_Lime_T_A","HM_As_ppm","HM_Ba_ppm","HM_Cd_ppm","HM_Cr_ppm","HM_Co_ppm","HM_Pb_ppm","HM_Mo_ppm","HM_Ni_ppm","HM_Se_ppm","HM_Ag_ppm"
"42220","060514","1194749","13","1194749","1","","6/5/2014","6/30/2014","PCP FIELD 4","F4 5 21 14","A1","BILL SCHEURER","PACIFIC COAST PRODUCERS","8080 RAILROAD AVE","PO BOX 254","PALERMO CA  95968","0-12","","","7.6","","","","L","1.36","2.8","23.0","83","","","","","83","12","","61","","","","81","846","1510","100","73","1.6","64.8","10.9","3.4","1.3","10.9","100","0","71","8","20","1","7.39","1.44","3.24","1.54","1","0","","","","","","","","","","","","","0.170","","","","","","","","","","","","","","","","","","","","","","","",""
"42220","060514","1194750","14","1194749","2","","6/5/2014","6/30/2014","PCP FIELD 4","F4 5 21 14","B1","BILL SCHEURER","PACIFIC COAST PRODUCERS","8080 RAILROAD AVE","PO BOX 254","PALERMO CA  95968","0-12","","","7.5","","","","L","1.16","2.6","37.2","134","","","","","134","12","","60","","","","61","809","1590","112","76","1.7","66.5","8.9","3.3","1.3","11.3","100","0","73","8","18","1","7.63","1.49","3.72","1.74","1","0","","","","","","","","","","","","","0.170","","","","","","","","","","","","","","","","","","","","","","","",""
"42220","060514","1194751","15","1194749","3","","6/5/2014","6/30/2014","PCP FIELD 4","F4 5 21 14","C1","BILL SCHEURER","PACIFIC COAST PRODUCERS","8080 RAILROAD AVE","PO BOX 254","PALERMO CA  95968","0-12","","","7.8","","","","L","1.20","2.9","17.7","64","","","","","64","12","","58","","","","74","987","1600","118","99","1.6","58.7","7.6","3.2","1.5","11.9","100","0","69","8","21","2","6.57","1.33","4.20","2.11","2","0","","","","","","","","","","","","","0.190","","","","","","","","","","","","","","","","","","","","","","","",""
"42220","060514","1194752","16","1194749","4","","6/5/2014","6/30/2014","PCP FIELD 4","F4 5 21 14","D1","BILL SCHEURER","PACIFIC COAST PRODUCERS","8080 RAILROAD AVE","PO BOX 254","PALERMO CA  95968","0-12","","","7.6","","","","L","1.34","3.0","22.6","81","","","","","81","12","","63","","","","62","861","1530","154","160","1.9","77.6","7.8","3.7","1.7","11.8","100","0","66","11","19","4","5.02","1.43","6.22","3.46","4","0","","","","","","","","","","","","","0.190","","","","","","","","","","","","","","","","","","","","","","","",""
"42220","060514","1194753","17","1194749","5","","6/5/2014","6/30/2014","PCP FIELD 4","F4 5 21 14","E1","BILL SCHEURER","PACIFIC COAST PRODUCERS","8080 RAILROAD AVE","PO BOX 254","PALERMO CA  95968","0-12","","","7.8","","","","L","1.14","2.5","19.3","69","","","","","69","12","","58","","","","35","745","1280","147","169","1.5","61.4","8.7","3.1","1.4","10.3","100","0","62","12","19","7","2.38","0.83","6.77","5.34","7","0","","","","","","","","","","","","","0.140","","","","","","","","","","","","","","","","","","","","","","","",""
"42220","060514","1194754","18","1194749","6","","6/5/2014","6/30/2014","PCP FIELD 4","F4 5 21 14","F1","BILL SCHEURER","PACIFIC COAST PRODUCERS","8080 RAILROAD AVE","PO BOX 254","PALERMO CA  95968","0-12","","","7.8","","","","L","1.02","2.5","22.8","82","","","","","82","12","","62","","","","48","830","1400","162","118","1.4","47.1","7.8","2.5","1.4","11.0","100","0","65","12","19","4","3.84","1.05","5.03","3.22","4","0","","","","","","","","","","","","","0.160","","","","","","","","","","","","","","","","","","","","","","","",""
"42220","060514","1194755","19","1194755","1","","6/5/2014","6/30/2014","PCP FIELD 4","F4 5 21 14","G1","BILL SCHEURER","PACIFIC COAST PRODUCERS","8080 RAILROAD AVE","PO BOX 254","PALERMO CA  95968","0-12","","","7.7","","","","L","0.94","3.3","23.6","85","","","","","85","12","","67","","","","51","901","1620","169","115","2.1","59.8","7.3","2.9","1.6","12.3","100","0","68","11","19","2","5.11","1.23","3.94","2.21","2","0","","","","","","","","","","","","","0.200","","","","","","","","","","","","","","","","","","","","","","","",""
"42220","060514","1194756","20","1194755","2","","6/5/2014","6/30/2014","PCP FIELD 4","F4 5 21 14","A2","BILL SCHEURER","PACIFIC COAST PRODUCERS","8080 RAILROAD AVE","PO BOX 254","PALERMO CA  95968","0-12","","","7.5","","","","L","2.18","2.8","6.1","22","","","","","22","12","","68","","","","157","798","1780","88","62","1.5","63.3","9.0","3.2","1.3","11.9","100","0","76","6","17","1","15.63","2.47","3.55","1.18","1","0","","","","","","","","","","","","","0.190","","","","","","","","","","","","","","","","","","","","","","","",""
"42220","060514","1194757","21","1194755","3","","6/5/2014","6/30/2014","PCP FIELD 4","F4 5 21 14","B2","BILL SCHEURER","PACIFIC COAST PRODUCERS","8080 RAILROAD AVE","PO BOX 254","PALERMO CA  95968","0-12","","","7.6","","","","L","2.02","2.8","11.3","41","","","","","41","12","","65","","","","158","897","1850","79","39","1.6","61.1","7.5","3.1","1.3","12.4","100","0","75","5","19","1","20.69","2.38","2.30","0.68","1","0","","","","","","","","","","","","","0.180","","","","","","","","","","","","","","","","","","","","","","","",""
"42220","060514","1194758","22","1194755","4","","6/5/2014","6/30/2014","PCP FIELD 4","F4 5 21 14","C2","BILL SCHEURER","PACIFIC COAST PRODUCERS","8080 RAILROAD AVE","PO BOX 254","PALERMO CA  95968","0-12","","","7.7","","","","L","2.36","2.6","19.5","70","","","","","70","12","","52","","","","147","858","1830","103","77","1.4","48.7","6.8","2.9","1.4","12.5","100","0","74","7","18","1","17.41","2.80","4.40","1.38","1","0","","","","","","","","","","","","","0.180","","","","","","","","","","","","","","","","","","","","","","","",""
