"Account_Number","Batch_Number","Lab_Number","PosNo","Assoc_Number","Line_Number","Date_Sampled","Date_Received","Date_Reported","Grower","Field_ID","Sample_ID","Submitted_by","Company","Address_1","Address_2","City_State_Zip","Depth_1","Depth_2","Depth_3","Soil_pH","Buffer_pH","Lime_Legume_T_A","Lime_Non_T_A","Excess_Lime","Soluble_Salts","OM_pct","NO3_D1_ppm","NO3_D1_lbs_A","NO3_D2_ppm","NO3_D2_lbs_A","NO3_D3_ppm","NO3_D3_lbs_A","NO3_Total_lbs_A","NO3_Total_Depth","Bray_P1_ppm","Bicarb_P_ppm","Bray_P2_ppm","Mehlich2_P_ppm","Mehlich3_P_ppm","SO4_ppm","ExchK_ppm","ExchCa_ppm","ExchMg_ppm","ExchNa_ppm","Zn_ppm","Fe_ppm","Mn_ppm","Cu_ppm","Boron_ppm","CEC_me_100g","Base_Sat_pct","H_Sat_pct","Ca_Sat_pct","Mg_Sat_pct","K_Sat_pct","Na_Sat_pct","SOL_Ca_me_L","SOL_Mg_me_L","SOL_Na_me_L","SAR","ESP","Gypsum_T_A","Sand_pct","Silt_pct","Clay_pct","Soil_Texture","Cl_D1_ppm","Cl_D1_lbs_A","Cl_D2_ppm","Cl_D2_lbs_A","Cl_Total_lbs_A","NH4_D1_ppm","NH4_D1_lbs_A","Al_ppm","Total_Nitrogen_pct","xCrop_Name","xCrop_Yield_Unit","xRec_N_lbs_A","xRec_P2O5_lbs_A","xRec_K2O_lbs_A","xRec_S_lbs_A","xRec_Zn_lbs_A","xRec_MgO_lbs_A","xRec_Fe_lbs_A","xRec_Mn_lbs_A","xRec_Cu_lbs_A","xRec_B_lbs_A","xRec_Cl_lbs_A","xRec_Lime_T_A","HM_As_ppm","HM_Ba_ppm","HM_Cd_ppm","HM_Cr_ppm","HM_Co_ppm","HM_Pb_ppm","HM_Mo_ppm","HM_Ni_ppm","HM_Se_ppm","HM_Ag_ppm"
"42150","061504","548604","","224793","1","","6/15/2004","6/17/2004","PCP","","F2 1 FT","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY CHICO","CHICO CA 95929-0310","0-12","","","7.2","","","","N","0.4","2.5","6.3","23","","","","","23","","","51","","","","9","652","810","203","271","3.7","79.9","47.2","3.6","0.9","8.6","100","0","47","20","19","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","061504","548605","","224793","2","","6/15/2004","6/17/2004","PCP","","F2 2 FT","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY CHICO","CHICO CA 95929-0310","0-12","","","7.8","","","","N","0.42","2.1","7.0","25","","","","","25","","","45","","","","9","682","700","196","411","7.8","79.0","51.1","3.5","0.4","8.7","100","0","40","19","20","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","061504","548606","","224793","3","","6/15/2004","6/17/2004","PCP","","F2 3 FT","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY CHICO","CHICO CA 95929-0310","0-12","","","8.8","","","","N","0.6","0.4","5.0","18","","","","","18","","","14","","","","6","207","980","248","793","0.8","20.7","19.7","1.8","0.3","10.9","100","0","44","19","5","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","061504","548607","","224793","4","","6/15/2004","6/17/2004","PCP","","F2 4 FT","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY CHICO","CHICO CA 95929-0310","0-12","","","8.5","","","","N","0.54","0.9","11.4","41","","","","","41","","","28","","","","8","447","810","215","599","1.2","34.6","26.5","2.3","0.3","9.6","100","0","42","19","12","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","061504","548608","","224794","1","","6/15/2004","6/17/2004","PCP","","F3 1 FT","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY CHICO","CHICO CA 95929-0310","0-12","","","7.8","","","","N","0.42","1.7","2.6","9","","","","","9","","","15","","","","9","369","910","259","559","1.1","90.2","61.8","2.8","0.8","10.1","100","0","46","21","9","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","061504","548609","","224794","2","","6/15/2004","6/17/2004","PCP","","F3 2 FT","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY CHICO","CHICO CA 95929-0310","0-12","","","8.0","","","","N","0.58","1.2","2.3","8","","","","","8","","","10","","","","17","213","1100","295","689","0.8","107","73.9","2.3","0.9","11.5","100","0","48","21","5","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","061504","548610","","224794","3","","6/15/2004","6/17/2004","PCP","","F3 3 FT","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY CHICO","CHICO CA 95929-0310","0-12","","","8.1","","","","N","0.58","0.9","2.2","8","","","","","8","","","9","","","","15","111","1040","294","658","0.5","78.7","50.2","1.7","0.4","10.8","100","0","47","23","3","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","061504","548611","","224794","4","","6/15/2004","6/17/2004","PCP","","F3 4 FT","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY CHICO","CHICO CA 95929-0310","0-12","","","8.2","","","","N","0.54","0.7","2.2","8","","","","","8","","","8","","","","13","106","1120","323","686","0.5","64.8","40.8","1.7","0.7","11.5","100","0","49","23","2","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","061504","548612","","224795","1","","6/15/2004","6/17/2004","PCP","","F4 1 FT","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY CHICO","CHICO CA 95929-0310","0-12","","","7.4","","","","N","0.6","2.3","10.3","37","","","","","37","","","36","","","","30","450","1340","95","177","1.8","110","40.4","3.1","0.4","9.4","100","0","72","8","12","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","061504","548613","","224795","2","","6/15/2004","6/17/2004","PCP","","F4 2 FT","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY CHICO","CHICO CA 95929-0310","0-12","","","7.8","","","","N","0.7","1.3","7.6","27","","","","","27","","","20","","","","29","414","1460","128","296","1.0","96.0","52.4","2.7","1.0","10.7","100","0","68","10","10","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","061504","548614","","224795","3","","6/15/2004","6/17/2004","PCP","","F4 3 FT","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY CHICO","CHICO CA 95929-0310","0-12","","","8.3","","","","N","0.82","0.4","3.4","12","","","","","12","","","9","","","","37","220","1360","238","485","0.4","42.9","40.7","2.0","1.0","11.5","100","0","60","17","5","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","061504","548615","","224795","4","","6/15/2004","6/17/2004","PCP","","F4 4 FT","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY CHICO","CHICO CA 95929-0310","0-12","","","8.1","","","","N","0.78","0.9","6.5","23","","","","","23","","","14","","","","36","301","1370","175","372","0.6","45.0","32.7","2.2","1.0","10.7","100","0","64","14","7","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","061504","548616","","224796","1","","6/15/2004","6/17/2004","PCP","","F5 1 FT","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY CHICO","CHICO CA 95929-0310","0-12","","","6.7","7.0","","","N","0.54","2.1","12.4","45","","","","","45","","","16","","","","35","315","1280","50","101","1.3","58.6","34.0","2.9","0.8","8.1","100","0","80","5","10","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","061504","548617","","224796","2","","6/15/2004","6/17/2004","PCP","","F5 2 FT","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY CHICO","CHICO CA 95929-0310","0-12","","","7.2","","","","N","0.52","1.0","5.7","21","","","","","21","","","10","","","","31","311","1380","66","122","0.7","36.9","32.1","2.3","0.5","8.8","100","0","79","6","9","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","061504","548618","","224796","3","","6/15/2004","6/17/2004","PCP","","F5 3 FT","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY CHICO","CHICO CA 95929-0310","0-12","","","7.3","","","","N","0.58","1.3","8.8","32","","","","","32","","","14","","","","38","219","1360","135","159","0.7","39.5","27.7","2.0","0.9","9.2","100","0","74","12","6","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","061504","548619","","224796","4","","6/15/2004","6/17/2004","PCP","","F5 4 FT","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY CHICO","CHICO CA 95929-0310","0-12","","","7.2","","","","N","0.64","1.4","9.5","34","","","","","34","","","13","","","","39","211","1310","129","156","0.7","38.8","25.2","2.0","0.4","8.8","100","0","74","12","6","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","061504","548621","","224798","1","","6/15/2004","6/17/2004","PCP","","F6 1 FT","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY CHICO","CHICO CA 95929-0310","0-12","","","6.8","7.0","","","N","0.34","1.8","7.8","28","","","","","28","","","19","","","","13","399","1030","105","121","1.8","81.4","21.8","2.8","0.4","7.6","100","0","67","12","14","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","061504","548622","","224798","2","","6/15/2004","6/17/2004","PCP","","F6 2 FT","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY CHICO","CHICO CA 95929-0310","0-12","","","7.5","","","","N","0.28","0.8","4.4","16","","","","","16","","","11","","","","12","261","1020","183","189","0.8","45.1","19.7","2.2","0.8","8.1","100","0","63","19","8","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","061504","548623","","224798","3","","6/15/2004","6/17/2004","PCP","","F6 3 FT","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY CHICO","CHICO CA 95929-0310","0-12","","","8.4","","","","N","0.4","0.4","2.5","9","","","","","9","","","25","","","","18","25","830","279","589","0.3","17.8","10.4","1.8","0.2","9.1","100","0","45","26","1","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","061504","548624","","224798","4","","6/15/2004","6/17/2004","PCP","","F6 4 FT","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY CHICO","CHICO CA 95929-0310","0-12","","","8.2","","","","N","0.34","0.7","2.7","10","","","","","10","","","10","","","","13","100","940","252","407","0.3","23.0","13.4","2.0","0.6","8.8","100","0","53","24","3","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","061504","548625","","224799","1","","6/15/2004","6/17/2004","PCP","","F7 1 FT","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY CHICO","CHICO CA 95929-0310","0-12","","","6.5","7.0","","","N","0.76","2.2","37.4","135","","","","","135","","","35","","","","21","335","680","283","303","1.4","166","40.3","4.0","0.3","7.9","100","0","42","30","11","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","061504","548626","","224799","2","","6/15/2004","6/17/2004","PCP","","F7 2 FT","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY CHICO","CHICO CA 95929-0310","0-12","","","7.4","","","","N","0.78","1.7","26.5","95","","","","","95","","","21","","","","12","550","940","397","348","0.8","77.3","29.9","3.3","0.9","10.9","100","0","43","30","13","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
